Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2019,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"15,055,709",83.4
CENSUS,2019,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"59,905",76.3
CENSUS,2019,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),14,30.4
CENSUS,2019,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"15,055,709",83.4
CENSUS,2019,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"59,905",76.3
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),36,27.3
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"644,155",42.2
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,260",32.6
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),34,28.7
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,95
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2019,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),7,43.9
CENSUS,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"87,402",75.2
CENSUS,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),300,94.1
CENSUS,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),7,43.9
CENSUS,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"87,402",75.2
CENSUS,2019,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),300,94.1
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),21,42.5
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,728,809",(H)
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"5,081",(H)
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),19,39.8
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"505,658",59.6
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,004",38.9
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,(H)
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,223,151",(H)
CENSUS,2019,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,077",(H)
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),57,40.1
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"745,009",67.2
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,428",78.4
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),53,40.5
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,404",79.4
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,89.2
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2019,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),23,80.9
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),189,4.7
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"231,304,956",13.7
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,446,458",13.5
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),184,4.9
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"211,553,703",13.5
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,221,571",12.9
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),48,4.4
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"19,751,253",19.7
CENSUS,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"224,886",21
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,13
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,455,805",21.9
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"14,532",23.1
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,14
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,38.5
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),32,11.9
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"459,144",22.7
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,012",19.6
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),32,11.9
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),10,13.6
CENSUS,2016,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"358,487",23.1
CENSUS,2016,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,308",25
CENSUS,2016,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),10,13.6
CENSUS,2016,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"358,487",23.2
CENSUS,2016,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,308",25.1
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),25,9.2
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,752,592",25.4
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"5,832",24.7
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),23,9
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,980",12.2
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,33.5
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,OREGON,41,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"3,852",39.3
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),52,5.3
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,917,197",22.3
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,718",23.4
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),52,5.3
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,383",24.2
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,21.2
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2016,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),335,49.5
CENSUS,2015,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),175,9.2
CENSUS,2015,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"144,304,480",52
CENSUS,2015,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"738,062",47
CENSUS,2015,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),11,45.5
CENSUS,2015,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2015,YEAR,,STATE,FLORIDA,12,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"8,842",73.6
CENSUS,2015,YEAR,,STATE,NEW YORK,36,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),21,36.6
